Feature,Estimate,Std Error,t-stat,P-Value
Intercept,76272.84833592223,87.10647588690254,59.20810105281694,0.0
Feature 0,5157.409026666488,7.517773667079885,9.728949149235579,0.0
Feature 1,73.14003772248248,5986.335492420971,1.4455438030083998,0.14832170046245108
Feature 2,8653.510173798371,6022.27458749402,2.8238656856133093,0.004749766407420086
Feature 3,17006.09455696541,6021.389803771663,4.8311358837457785,1.3681525177222653e-06
Feature 4,29090.152351022232,6028.163663733687,6.972814645080828,3.2087665857716274e-12
Feature 5,42033.267877426355,6024.698693717274,2.1212672567975925,0.03391223632565876
Feature 6,12779.996071053682,6067.904461142725,1.7939200971155185,0.07284182586708399
Feature 7,10885.335760220845,6082.013682786447,1.0209379337087554,0.3072968511763494
Feature 8,6209.3584820923725,6345.54167083311,0.7815406199789984,0.4344943391470133
Feature 9,4959.298571525478,6708.574831648399,-2.991355660017942,0.002780982861281256
Feature 10,-20067.73329330535,7866.608719208241,-0.5714510613895284,0.5677006880330948
Feature 11,-4495.381902127668,5984.556557014382,12.744945696356451,0.0
